run_id,question_id,question,expected,actual,category,reason,tools,stop_reason
"simple-001-r1-1779421577987","simple-001","Who is the all-time NBA regular season scoring leader?","LeBron James","","crash","401 User not found. Troubleshooting URL: https://docs.langchain.com/oss/javascript/langchain/errors/MODEL_AUTHENTICATION/","0","error"
"simple-001-r2-1779421578421","simple-001","Who is the all-time NBA regular season scoring leader?","LeBron James","","crash","401 User not found. Troubleshooting URL: https://docs.langchain.com/oss/javascript/langchain/errors/MODEL_AUTHENTICATION/","0","error"
"simple-001-r3-1779421578575","simple-001","Who is the all-time NBA regular season scoring leader?","LeBron James","","crash","401 User not found. Troubleshooting URL: https://docs.langchain.com/oss/javascript/langchain/errors/MODEL_AUTHENTICATION/","0","error"
"simple-002-r1-1779421578718","simple-002","How many career points does LeBron James have?","43440","","crash","401 User not found. Troubleshooting URL: https://docs.langchain.com/oss/javascript/langchain/errors/MODEL_AUTHENTICATION/","0","error"
"simple-002-r2-1779421578852","simple-002","How many career points does LeBron James have?","43440","","crash","401 User not found. Troubleshooting URL: https://docs.langchain.com/oss/javascript/langchain/errors/MODEL_AUTHENTICATION/","0","error"
"simple-002-r3-1779421578996","simple-002","How many career points does LeBron James have?","43440","","crash","401 User not found. Troubleshooting URL: https://docs.langchain.com/oss/javascript/langchain/errors/MODEL_AUTHENTICATION/","0","error"
"simple-003-r1-1779421579136","simple-003","Who won the NBA MVP award in the 2023-24 season?","Nikola","","crash","401 User not found. Troubleshooting URL: https://docs.langchain.com/oss/javascript/langchain/errors/MODEL_AUTHENTICATION/","0","error"
"simple-003-r2-1779421579296","simple-003","Who won the NBA MVP award in the 2023-24 season?","Nikola","","crash","401 User not found. Troubleshooting URL: https://docs.langchain.com/oss/javascript/langchain/errors/MODEL_AUTHENTICATION/","0","error"
"simple-003-r3-1779421579457","simple-003","Who won the NBA MVP award in the 2023-24 season?","Nikola","","crash","401 User not found. Troubleshooting URL: https://docs.langchain.com/oss/javascript/langchain/errors/MODEL_AUTHENTICATION/","0","error"
"multi-001-r1-1779421579621","multi-001","Who has more career points: Michael Jordan or Kobe Bryant?","Kobe","","crash","401 User not found. Troubleshooting URL: https://docs.langchain.com/oss/javascript/langchain/errors/MODEL_AUTHENTICATION/","0","error"
"multi-001-r2-1779421579754","multi-001","Who has more career points: Michael Jordan or Kobe Bryant?","Kobe","","crash","401 User not found. Troubleshooting URL: https://docs.langchain.com/oss/javascript/langchain/errors/MODEL_AUTHENTICATION/","0","error"
"multi-001-r3-1779421579886","multi-001","Who has more career points: Michael Jordan or Kobe Bryant?","Kobe","","crash","401 User not found. Troubleshooting URL: https://docs.langchain.com/oss/javascript/langchain/errors/MODEL_AUTHENTICATION/","0","error"
"vague-001-r1-1779421580021","vague-001","Who scored the most?","CLARIFICATION","","crash","401 User not found. Troubleshooting URL: https://docs.langchain.com/oss/javascript/langchain/errors/MODEL_AUTHENTICATION/","0","error"
"vague-001-r2-1779421580075","vague-001","Who scored the most?","CLARIFICATION","","crash","401 User not found. Troubleshooting URL: https://docs.langchain.com/oss/javascript/langchain/errors/MODEL_AUTHENTICATION/","0","error"
"vague-001-r3-1779421580127","vague-001","Who scored the most?","CLARIFICATION","","crash","401 User not found. Troubleshooting URL: https://docs.langchain.com/oss/javascript/langchain/errors/MODEL_AUTHENTICATION/","0","error"
"specific-001-r1-1779421580178","specific-001","What was Michael Jordan PER in the 1995 playoffs?","24.8","","crash","401 User not found. Troubleshooting URL: https://docs.langchain.com/oss/javascript/langchain/errors/MODEL_AUTHENTICATION/","0","error"
"specific-001-r2-1779421580230","specific-001","What was Michael Jordan PER in the 1995 playoffs?","24.8","","crash","401 User not found. Troubleshooting URL: https://docs.langchain.com/oss/javascript/langchain/errors/MODEL_AUTHENTICATION/","0","error"
"specific-001-r3-1779421580280","specific-001","What was Michael Jordan PER in the 1995 playoffs?","24.8","","crash","401 User not found. Troubleshooting URL: https://docs.langchain.com/oss/javascript/langchain/errors/MODEL_AUTHENTICATION/","0","error"
